Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 7,2002,Unnamed: 10,Unnamed: 12,2003,Unnamed: 14,Unnamed: 16,2004,Unnamed: 19,Unnamed: 22
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),Türkiye,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),2002,69302000,OLGU SAYISI,ANKARA ( 2002-2004 ),70231000,ANTALYA  ( 2002-2004 ),"İNSİDANS
 (100.000'de )",71150000,İNSİDANS (100.000'de ),"İNSİDANS
 (100.000'de )"
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),8 il,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),2002,13660528,OLGU SAYISI,ANKARA ( 2002-2004 ),13865920,ANTALYA  ( 2002-2004 ),"İNSİDANS
 (100.000'de )",14070234,İNSİDANS (100.000'de ),"İNSİDANS
 (100.000'de )"
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),Yüzde %,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),2002,"% 19,71",OLGU SAYISI,ANKARA ( 2002-2004 ),"% 19,74",ANTALYA  ( 2002-2004 ),"İNSİDANS
 (100.000'de )","%19,77",İNSİDANS (100.000'de ),"İNSİDANS
 (100.000'de )"
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),* 2002-2003-2004  yıllarına ait nüfus verileri  Türkiye İstatistik Kurumu tahminleridir.,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),2002,"% 19,71",OLGU SAYISI,ANKARA ( 2002-2004 ),2003,ANTALYA  ( 2002-2004 ),"İNSİDANS
 (100.000'de )","%19,77",İNSİDANS (100.000'de ),"İNSİDANS
 (100.000'de )"
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),DERİ,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),2002,"% 19,71",OLGU SAYISI,ANKARA ( 2002-2004 ),8 İLİN İNSİDANS KARŞILAŞTIRMASI ( 1999- 2004 ),ANTALYA  ( 2002-2004 ),"İNSİDANS
 (100.000'de )","%19,77",İNSİDANS (100.000'de ),"İNSİDANS
 (100.000'de )"
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),DERİ,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),1999,"% 19,71",2000,ANKARA ( 2002-2004 ),2001,ANTALYA  ( 2002-2004 ),2002,"%19,77",2003,2004
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),ANKARA,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),63.65,"% 19,71",87.85,ANKARA ( 2002-2004 ),86.6,ANTALYA  ( 2002-2004 ),117.66,"%19,77",134.06,138.43
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),ANTALYA,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),123.09,"% 19,71",83.27,ANKARA ( 2002-2004 ),126.01,ANTALYA  ( 2002-2004 ),135.01,"%19,77",135.11,149.66
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),EDİRNE,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),56.16,"% 19,71",38.75,ANKARA ( 2002-2004 ),98.86,ANTALYA  ( 2002-2004 ),112.06,"%19,77",74.41,182.73
ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),KADINLARDA GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),ERZURUM,ERKEKLERDE GÖRÜLEN İLK 10 KANSER TÜRÜ(2004),65.43,"% 19,71",40.11,ANKARA ( 2002-2004 ),58.14,ANTALYA  ( 2002-2004 ),80.4,"%19,77",52.2,68.9
