"Ay ve cinsiyete göre ölümler, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Deaths by month and sex, 2009-2023",,,,,,,,,,,,,,,,
,,Yıl-Year,,,,,,,,,,,,,,
Ay-Month,Cinsiyet-Sex,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020(r),2021(r),2022(r),2023.0
Toplam,Toplam-Total,369703,366471.0,376162.0,376520.0,373041.0,391091.0,405528.0,422964.0,426857.0,426785.0,436624.0,509147,566624,505269,525814.0
Total,Erkek-Male,203653,200445.0,206505.0,207634.0,205439.0,213682.0,222029.0,231589.0,233661.0,233138.0,238367.0,285210,309386,275769,283641.0
,Kadın-Female,166050,166026.0,169657.0,168886.0,167602.0,177409.0,183499.0,191375.0,193196.0,193647.0,198257.0,223937,257238,229500,242173.0
,,,,,,,,,,,,,,,,
Ocak,Toplam-Total,34877,30525.0,35347.0,37085.0,33306.0,39581.0,34918.0,43871.0,43793.0,38883.0,48821.0,42023,46968,53894,46333.0
January,Erkek-Male,18917,16601.0,19073.0,20342.0,18178.0,21053.0,19047.0,23555.0,23401.0,21096.0,25837.0,22965,26186,29292,24991.0
,Kadın-Female,15960,13924.0,16274.0,16743.0,15128.0,18528.0,15871.0,20316.0,20392.0,17787.0,22984.0,19058,20782,24602,21342.0
,,,,,,,,,,,,,,,,
Şubat,Toplam-Total,31212,28580.0,34559.0,33232.0,30111.0,30895.0,32870.0,36355.0,36202.0,35091.0,36676.0,35037,36918,53118,85516.0
February,Erkek-Male,16958,15505.0,18548.0,17851.0,16431.0,16540.0,17830.0,19578.0,19573.0,18984.0,19683.0,19141,20340,28908,43253.0
,Kadın-Female,14254,13075.0,16011.0,15381.0,13680.0,14355.0,15040.0,16777.0,16629.0,16107.0,16993.0,15896,16578,24210,42263.0
,,,,,,,,,,,,,,,,
Mart,Toplam-Total,33605,31116.0,33100.0,33047.0,31697.0,33661.0,37925.0,34455.0,36952.0,36414.0,37035.0,37686,43092,46399,40065.0
March,Erkek-Male,18527,16999.0,17984.0,18142.0,17367.0,18319.0,20657.0,18812.0,20165.0,19818.0,20144.0,20789,23766,25600,21759.0
,Kadın-Female,15078,14117.0,15116.0,14905.0,14330.0,15342.0,17268.0,15643.0,16787.0,16596.0,16891.0,16897,19326,20799,18306.0
,,,,,,,,,,,,,,,,
Nisan,Toplam-Total,30543,29202.0,29377.0,30357.0,29387.0,31548.0,34983.0,32661.0,34116.0,34255.0,35058.0,38379,51146,38574,38168.0
April,Erkek-Male,16868,16110.0,16204.0,16749.0,16116.0,17231.0,19173.0,17911.0,18888.0,18840.0,19189.0,21211,28334,21059,20810.0
,Kadın-Female,13675,13092.0,13173.0,13608.0,13271.0,14317.0,15810.0,14750.0,15228.0,15415.0,15869.0,17168,22812,17515,17358.0
,,,,,,,,,,,,,,,,
