"Cinsiyete göre beş yaş altı ölüm hızı, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3
"Under-five mortality rate by sex, 2009-2023",10.706226680667575,11.402413214675773,(‰)
2009,10.706226680667575,11.402413214675773,(‰)
"Yıl
Year","Toplam 
Total","Erkek
Male","Kadın
Female"
2009,17.654614048064694,18.46854314801852,16.792915544619945
2010,15.455501998542621,16.259710832140943,14.60599044528868
2011,14.853784925431748,15.496997874271223,14.174386312755635
2012,14.356502562557692,14.910343768767753,13.772662217525555
2013,13.395673222996972,14.079309191231072,12.672549632565882
2014,13.276707364731239,14.203202637737633,12.298374825004565
2015,12.35762356501165,13.05511592797077,11.622958300236455
2016,11.975533251594964,12.62937964451623,11.285979725242182
2017,11.347747908492007,11.95266272189349,10.709521611865188
2018,11.405879222414645,12.06288883171472,10.71307747246551
2019,11.353961123472859,12.175143834449496,10.490486214226408
2020,10.706226680667575,11.402413214675773,9.97272824040258
2021,11.351272603886596,12.017602337394905,10.648995986978036
2022,11.171362838940013,12.079352921237001,10.212696962686582
2023,14.549127302777105,15.469278188541622,13.58107428160335
"Kaynak: TÜİK, Ölüm ve Ölüm Nedeni İstatistikleri, 2009-2023",10.706226680667575,11.402413214675773,(‰)
"Source: TurkStat, Death and Causes of Death Statistics, 2009-2023",10.706226680667575,11.402413214675773,(‰)
