"Yaş grubu ve cinsiyete göre seçilmiş ölüm nedenlerinin dağılımı, 2009-2017",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110
"Distribution of selected causes of death by age group and gender, 2009-2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2009(1),,,,,,,,,,,,2010(1),,,,,,,,,,,,2011(1),,,,,,,,,,,,2012(1),,,,,,,,,,,,2013(1),,,,,,,,,,,,2014(1),,,,,,,,,,,,2015(1),,,,,,,,,,,,2016(1),,,,,,,,,,,,2017(1),,,,,,,,,
,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,,,,Yaş grubu - Age group,,,,,,,,,
Ölüm nedeni,,,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen,,Toplam,,,,,,,,,,Bilinmeyen
Cause of death,,,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown,,Total,0 - 14,15 - 24,25 - 34,35 - 44,45 - 54,55 - 64,65 - 74,75 - 84,85+,Unknown
Toplam,,,Toplam - Total,281504,17825,3682,5031,9369,22973,39693,60509,88981,32406,1035,,294501,15868,3988,5448,9289,23178,41447,63415,93709,38026,133,,312249,15515,4026,5186,9197,22534,44664,67526,99007,44553,41,,320967,15533,4187,5444,9331,22756,44999,68354,100642,49695,26,,360873,19054,5429,6462,10632,24942,48729,74270,110707,60614,34,,383676,20681,5446,6294,10579,25258,50333,77118,117978,69920,69,,397037,20108,5076,6002,10254,24805,51858,80715,121213,76926,80,,420189,20907,5976,6978,11527,26157,54776,84872,124854,84061,81,,423878,20087,5839,6732,11674,26063,55209,85141,123180,89851,102
Total,,,Erkek - Male,155928,9768,2412,3241,6020,15661,26722,35918,43885,11531,770,,161734,8779,2761,3568,5884,15961,27818,37306,46198,13370,89,,171734,8523,2738,3367,5910,15283,30033,40470,49213,16183,14,,175980,8500,2952,3607,5940,15464,30688,40854,50098,17867,10,,198882,10544,3999,4428,6865,16910,33326,44759,55893,22133,25,,208856,11548,3974,4379,6726,16864,34077,46347,59316,25577,48,,215977,11142,3626,4127,6376,16594,35252,48880,61531,28389,60,,228954,11547,4428,4911,7285,17436,37189,51825,63244,31026,63,,231075,11117,4363,4772,7480,17430,37671,52355,62518,33287,82
,,,Kadın - Female ,125576,8057,1270,1790,3349,7312,12971,24591,45096,20875,265,,132767,7089,1227,1880,3405,7217,13629,26109,47511,24656,44,,140515,6992,1288,1819,3287,7251,14631,27056,49794,28370,27,,144987,7033,1235,1837,3391,7292,14311,27500,50544,31828,16,,161942,8464,1430,2034,3767,8032,15403,29511,54814,38481,6,,174747,9066,1472,1915,3853,8394,16256,30771,58662,44343,15,,180994,8911,1449,1874,3878,8209,16604,31833,59682,48537,17,,191170,9303,1548,2067,4240,8721,17586,33047,61609,53035,14,,192744,8922,1474,1960,4194,8631,17538,32786,60661,56564,14
,,,Bilinmeyen - Unknown,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,49,46,-,-,-,-,-,-,-,-,3,,73,67,-,-,-,-,-,-,-,-,6,,66,55,1,1,-,2,2,2,-,-,3,,65,57,-,-,2,-,1,-,1,-,4,,59,48,2,-,-,2,-,-,1,-,6
Dolaşım sistemi hastalıkları,,,Toplam - Total,112158,828,336,734,2436,7616,14296,24983,43228,17631,70,,116712,625,315,752,2335,7345,14572,25836,44509,20391,32,,121143,676,344,681,2277,6995,14898,26429,45796,23031,16,,121740,627,358,702,2224,6875,14870,26250,45187,24640,7,,143071,488,348,729,2471,7668,16572,29508,52661,32625,1,,153649,581,354,756,2615,8096,17559,31047,55687,36947,7,,159194,490,353,780,2628,8084,17990,32345,56358,40166,-,,166069,562,414,835,2795,8665,19004,33493,57113,43184,4,,167265,546,410,793,2892,8698,19367,33280,55704,45568,7
