"Yaş grubu, cinsiyet ve eğitim durumuna göre ölümler, 2015-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Deaths by age group, sex and educational level, 2015-2023",,,,,,,,,,
[6 ve daha yukarı yaş-6 years of age and over],,,,,,,,,,
,,,,Eğitim durumu-Educational level,,,,,,
,,,,,,,"İlköğretim,",,,
,,,,,,,Ortaokul,,,
,,,,,,,veya dengi,,,
,,,,,Okuma yazma,,okul mezunu,    Lise veya,,
,,,,,bilen fakat,,Primary,     dengi,,
,,,,Okuma,bir okul,İlkokul,"education,",okul mezunu,Yüksek,
,,,,yazma,bitirmeyen,mezunu,Junior high,     High,öğretim,
Yıl,Yaş grubu,,Toplam,bilmeyen,No school,Primary,school and,school and,Higher,Bilinmeyen
Year,Age group,,Total,Illiterate,completed,school,equivalent, equivalent,education,Unknown
2023,,,,,,,,,,
,Toplam,Toplam-Total,510900,76075,70122,193286,67721,57729,36641,9326
,Total,Erkek-Male,275508,14240,25342,115113,48919,40336,26407,5151
,,Kadın-Female,235392,61835,44780,78173,18802,17393,10234,4175
,,,,,,,,,,
,6-9,Erkek-Male,2005,149,1803,18,-,-,-,35
,,Kadın-Female,1863,109,1716,12,-,-,-,26
,,,,,,,,,,
,10-14,Erkek-Male,2603,5,327,1844,419,-,-,8
,,Kadın-Female,2353,3,318,1638,385,-,-,9
,,,,,,,,,,
,15-19,Erkek-Male,3748,-,239,126,2560,800,3,20
,,Kadın-Female,2586,1,158,87,1622,703,4,11
,,,,,,,,,,
,20-24,Erkek-Male,4146,11,221,24,1169,2180,508,33
,,Kadın-Female,2558,9,140,23,449,1332,576,29
,,,,,,,,,,
,25-29,Erkek-Male,4006,36,153,85,1302,1249,1141,40
,,Kadın-Female,2608,34,142,71,553,667,1097,44
,,,,,,,,,,
,30-34,Erkek-Male,3953,79,94,65,1239,1274,1155,47
,,Kadın-Female,2552,88,111,66,703,600,928,56
,,,,,,,,,,
,35-39,Erkek-Male,4755,93,82,364,1383,1568,1173,92
,,Kadın-Female,3286,113,102,548,788,876,777,82
