"Temel doğurganlık ve ölümlülük göstergeleri, 2001-2024",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Basic fertility and mortality indicators, 2001-2024",,,,,,,,,,
[31/03/2025 tarihi itibarıyla-Date as of 31/03/2025],,,,,,,,,,
,Temel doğurganlık göstergeleri- Basic fertility indicators,,,,,,Temel ölümlülük göstergeleri-Basic mortality indicators,,,
"Yıl
Year","Doğum sayısı
Number of births","Kaba doğum hızı
Crude birth rate
(‰)","Toplam
doğurganlık hızı
(Çocuk sayısı)
Total fertility rate
(Number of children)","Annenin
ortalama yaşı
Mean age
of mother","İlk doğumdaki
ortalama
anne yaşı
Mean age of mother at birth of first child",,"Ölüm sayısı
Number of deaths","Kaba ölüm hızı
Crude death rate
(‰)","Bebek
ölüm sayısı
Number
of infant deaths","Bebek
ölüm hızı
Infant
mortality rate
(‰)"
2001,1323341,20.3,2.38,26.7240921216744,-,,-,-,-,-
2002,1229555,18.6,2.17,26.8133841735323,-,,-,-,-,-
2003,1198927,17.9,2.09,26.9531506741358,-,,-,-,-,-
2004,1222484,18.1,2.11,27.0095511145313,-,,-,-,-,-
2005,1244041,18.2,2.12,27.035220003617,-,,-,-,-,-
2006,1255432,18.1,2.12,27.0944226212787,-,,-,-,-,-
2007,1289992,18.4,2.16,27.1903582230645,-,,-,-,-,-
2008,1295511,18.2,2.15,27.2673729594807,-,,-,-,-,-
2009,1266751,17.584188809632355,2.0998985555903222,27.4288159549593,-,,369703,5.131969389001872,17607,13.899337754617916
2010,1261169,17.242711623872147,2.0801795493176245,27.6565450576643,-,,366471,5.010394143459004,15164,12.02376525271395
2011,1252812,16.87888379102889,2.047192294211247,27.7795773231853,-,,376162,5.067954876390878,14567,11.627442904442168
2012,1294605,17.221027826012662,2.1086104085906476,28.0009679536194,-,,376520,5.008524914588069,14974,11.566462357244102
2013,1297505,17.039336644305543,2.10681139654783,28.2503829894816,-,,373041,4.898918448197412,14027,10.81074832081572
2014,1351088,17.5052477340408,2.186179115606541,28.3664623062931,25.5143292731783,,391091,5.067134665953477,14951,11.06589652191419
2015,1336908,17.091971432300358,2.1570899140311925,28.4939639028459,25.684086741216,,405528,5.184554951423658,13677,10.234042839761692
2016,1316204,16.60239449646801,2.1148359494924382,28.6005731017644,25.8581267316319,,422964,5.335202738940237,12910,9.819252732809844
2017,1300258,16.189942965183416,2.0817960144230727,28.6995721896325,26.0267100005643,,426857,5.3149378694761324,12134,9.331994111937785
2018,1257071,15.441766157708635,2.0047304966063697,28.8585577955398,26.2368063219353,,426785,5.242595024161467,11718,9.321669181772549
2019(r),1191709,14.431061862559627,1.8889958893332583,28.9423637275048,26.3954823644942,,436624,5.287320943853101,11022,9.2547965909568
2020(r),1119755,13.42878579991424,1.7709482290069842,29.0005674066959,26.5258515422647,,509147,6.1060017625899725,9762,8.724055497218437
2021(r),1085450,12.899401100932302,1.7110450103847445,29.1337568541543,26.7286137451272,,566624,6.733714357561071,10107,9.3190896115248
2022(r),1040860,12.248306255620665,1.6328519845974012,29.1708523272708,26.8069059289306,,505269,5.945746261237053,9555,9.190044935520605
2023(r),961566,11.26932464227038,1.5142885283663017,29.2239329122064,27.0475536733252,,525814,6.1624149225854055,9575,9.990525955542942
2024,937559,10.963209602657422,1.4838630100148573,29.3049552528748,27.2632932998823,,-,-,-,-
Kaynak: Nüfus ve Vatandaşlık İşleri Genel Müdürlüğü,,,,,,,,,,
              Sağlık Bakanlığı,,,,,,,,,,
Source: General Directorate of Civil Registration and Citizenship Affairs,,,,,,,,,,
              Ministry of Health,,,,,,,,,,
(r) Doğum verileri güncel idari kayıtlarla revize edilmiştir.,,,,,,,,,,
(r) Birth data were revised with updated administrative records.,,,,,,,,,,
- Bilgi yoktur.,,,,,,,,,,
- Denotes magnitude null.,,,,,,,,,,
