"Cinsiyet ve nedenlerine göre ölümler, 2020-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
"Deaths by causes and sex, 2020-2023",,,,,,,,,,,,,,,,,
"Ölüm nedeni
Cause of death",,,2020(r),,,,2021(r),,,,2022(r),,,,2023,,
,,,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female"
"Tüm nedenler
All causes",,,509147,285210,223937,,566624,309386,257238,,505269,275769,229500,,525814,283641,242173
"Enfeksiyon ve parazit hastalıkları
Infectious and parasitic diseases",,,12799,6865,5934,,16872,8793,8079,,18562,9426,9136,,19591,9999,9592
,"İshal ve gastroenterit, enfeksiyoz orijinli kabul edilen
Diarhoea and gastenteritis of presumed infectious origin",,158,83,75,,153,71,82,,178,87,91,,179,72,107
,"Tüberküloz
Tuberculosis",,318,221,97,,286,193,93,,298,195,103,,311,212,99
,"Meningokok enfeksiyonları
Meningococcal infection",,11,5,6,,5,5,-,,2,1,1,,7,1,6
,"Septisemi
Septicaemia",,11187,5879,5308,,15002,7698,7304,,16728,8353,8375,,17881,8985,8896
,"HIV hastalığı
HIV disease",,105,89,16,,128,110,18,,173,143,30,,134,118,16
,"Viral hepatitler
Viral hepatitis",,290,182,108,,263,158,105,,257,150,107,,248,172,76
"İyi huylu ve kötü huylu tümörler (malign ve benign neoplazmlar)
Neoplasms",,,79916,51570,28346,,79290,50520,28770,,76929,48868,28061,,79076,49835,29241
,"Kötü huylu tümörler (malign neoplazmlar)
Malignant neoplasms",,77622,50165,27457,,77441,49356,28085,,75015,47717,27298,,77067,48603,28464
,,"Dudak, ağız boşluğu, yutağın kötü huylu tümörü
Malignant neoplasm of lip, oral cavity, pharynx",864,593,271,,847,549,298,,788,525,263,,814,558,256
,,"Özofagusun kötü huylu tümörü
Malignant neoplasm of oesophagus",753,478,275,,752,413,339,,787,452,335,,817,494,323
,,"Midenin kötü huylu tümörü
Malignant neoplasm of stomach",6065,4034,2031,,6025,4006,2019,,6017,4009,2008,,5943,3924,2019
,,"Kolonun kötü huylu tümörü
Malignant neoplasm of colon",5948,3569,2379,,6009,3524,2485,,6055,3516,2539,,6118,3637,2481
,,"Rektum ve anüsün kötü huylu tümörü
Malignant neoplasm of rectum and anus",1489,944,545,,1383,853,530,,1430,877,553,,1554,940,614
,,"Karaciğer, karaciğer içi ve safra kanallarının kötü huylu tümörü
Malignant neoplasm liver and the intrahepatic bile ducts",2580,1680,900,,2648,1704,944,,2660,1722,938,,2711,1796,915
,,"Pankreasın kötü huylu tümörü
Malignant neoplasm of pancreas",4954,2829,2125,,5067,2884,2183,,5089,2967,2122,,5321,3048,2273
