"İl ve cinsiyete göre bebek ölümleri, 2009-2023",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"Infant deaths by province and sex, 2009-2023",,,,,,,,,,,,,,,,
[İkametgah yerine göre-By the place of usual residence],,,,,,,,,,,,,,,,
,,Yıl-Year,,,,,,,,,,,,,,
İl-Province,Cinsiyet-Sex,2009,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020(r),2021(r),2022(r),2023.0
Türkiye-Türkiye,Toplam-Total,17607,15164.0,14567.0,14974.0,14027.0,14951.0,13677.0,12910.0,12134.0,11718.0,11022.0,9762,10107,9555,9575.0
,Erkek-Male,9541,8242.0,7843.0,8022.0,7601.0,8212.0,7440.0,6994.0,6598.0,6360.0,6065.0,5391,5502,5310,5282.0
,Kadın-Female,8066,6922.0,6724.0,6952.0,6426.0,6739.0,6237.0,5916.0,5536.0,5358.0,4957.0,4371,4605,4245,4293.0
,,,,,,,,,,,,,,,,
Adana,Toplam-Total,566,480.0,490.0,452.0,538.0,527.0,395.0,380.0,340.0,293.0,286.0,290,354,325,306.0
,Erkek-Male,298,259.0,272.0,225.0,296.0,303.0,226.0,224.0,178.0,146.0,159.0,152,199,190,178.0
,Kadın-Female,268,221.0,218.0,227.0,242.0,224.0,169.0,156.0,162.0,147.0,127.0,138,155,135,128.0
,,,,,,,,,,,,,,,,
Adıyaman,Toplam-Total,232,189.0,194.0,191.0,167.0,165.0,150.0,171.0,145.0,134.0,136.0,108,135,112,198.0
,Erkek-Male,120,101.0,101.0,106.0,102.0,91.0,76.0,86.0,81.0,77.0,75.0,55,61,57,95.0
,Kadın-Female,112,88.0,93.0,85.0,65.0,74.0,74.0,85.0,64.0,57.0,61.0,53,74,55,103.0
,,,,,,,,,,,,,,,,
Afyonkarahisar,Toplam-Total,179,131.0,135.0,161.0,136.0,108.0,107.0,98.0,89.0,96.0,91.0,79,74,78,58.0
,Erkek-Male,89,64.0,81.0,91.0,70.0,55.0,56.0,65.0,50.0,54.0,58.0,47,42,38,32.0
,Kadın-Female,90,67.0,54.0,70.0,66.0,53.0,51.0,33.0,39.0,42.0,33.0,32,32,40,26.0
,,,,,,,,,,,,,,,,
